collection_date,collection_time,station_id,station_name,train_category,train_number,train_operator,train_to,departure_date,departure_time,arrival_date,arrival_time,departure_timestamp,arrival_timestamp,delay,platform,prognosis_departure,prognosis_arrival,prognosis_platform,capacity1st,capacity2nd,board_type,request_time,request_date
2025-04-06,17:43:12,8505000,Luzern,S,1,SBB,Sursee,2025-02-01,09:15:00,,,09:15:00,,,,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:43:12,8505000,Luzern,S,5,ZB,Giswil,2025-02-01,09:16:00,,,09:16:00,,,14,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:43:12,8505000,Luzern,IR,VAE,SOB-sob,St. Gallen,2025-02-01,09:21:00,,,09:21:00,,,2,,,,,,arrival,09:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,S,9,SBB,Lenzburg,2025-02-01,09:58:00,,,09:58:00,,,10,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,S,4,ZB,Stans,2025-02-01,10:01:00,,,10:01:00,,,14,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,IR,15,SBB,Lausanne,2025-02-01,10:01:00,,,10:01:00,,,4,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,RE,7,BLS-bls,Langenthal,2025-02-01,10:03:00,,,10:03:00,,,5,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,RE,7,BLS-bls,Bern,2025-02-01,10:03:00,,,10:03:00,,,5,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,IC,21,SBB,Basel SBB,2025-02-01,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,S,1,SBB,Baar,2025-02-01,10:07:00,,,10:07:00,,,,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,S,1,SBB,Sursee,2025-02-01,10:15:00,,,10:15:00,,,,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,S,5,ZB,Giswil,2025-02-01,10:16:00,,,10:16:00,,,14,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,IR,VAE,SOB-sob,St. Gallen,2025-02-01,10:21:00,,,10:21:00,,,3,,,,,,arrival,10:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,S,9,SBB,Lenzburg,2025-02-01,10:58:00,,,10:58:00,,,10,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,S,4,ZB,Stans,2025-02-01,11:01:00,,,11:01:00,,,14,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,IR,15,SBB,Lausanne,2025-02-01,11:01:00,,,11:01:00,,,4,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,RE,7,BLS-bls,Langenthal,2025-02-01,11:03:00,,,11:03:00,,,5,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,RE,7,BLS-bls,Bern,2025-02-01,11:03:00,,,11:03:00,,,5,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,IR,26,SOB-sob,Basel SBB,2025-02-01,11:05:00,,,11:05:00,,,,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,S,1,SBB,Baar,2025-02-01,11:07:00,,,11:07:00,,,,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,S,1,SBB,Sursee,2025-02-01,11:15:00,,,11:15:00,,,,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,S,5,ZB,Giswil,2025-02-01,11:16:00,,,11:16:00,,,14,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,IR,VAE,SOB-sob,St. Gallen,2025-02-01,11:21:00,,,11:21:00,,,3,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,S,9,SBB,Lenzburg,2025-02-01,11:58:00,,,11:58:00,,,10,,,,,,arrival,12:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,S,4,ZB,Stans,2025-02-01,12:01:00,,,12:01:00,,,14,,,,,,arrival,12:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,IR,15,SBB,Lausanne,2025-02-01,12:01:00,,,12:01:00,,,4,,,,,,arrival,12:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,RE,7,BLS-bls,Langenthal,2025-02-01,12:03:00,,,12:03:00,,,5,,,,,,arrival,12:00,2025-02-01
2025-04-06,17:43:13,8505000,Luzern,RE,7,BLS-bls,Bern,2025-02-01,12:03:00,,,12:03:00,,,5,,,,,,arrival,12:00,2025-02-01
