collection_date,collection_time,station_id,station_name,train_category,train_number,train_operator,train_to,departure_date,departure_time,arrival_date,arrival_time,departure_timestamp,arrival_timestamp,delay,platform,prognosis_departure,prognosis_arrival,prognosis_platform,capacity1st,capacity2nd,board_type,request_time,request_date
2025-04-06,17:46:20,8503000,Zürich HB,S,14,SBB,Affoltern am Albis,2025-02-01,11:10:00,,,11:10:00,,,,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,S,7,SBB,Winterthur,2025-02-01,11:10:00,,,11:10:00,,,,,,,,,arrival,11:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,EC,000151,SBB,Basel Bad Bf,2025-02-01,12:00:00,,,12:00:00,,,,,,,,,arrival,12:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,S,9,SBB,Uster,2025-02-01,12:02:00,,,12:02:00,,,,,,,,,arrival,12:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,S,8,SBB,Winterthur,2025-02-01,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,S,5,SBB,Pfäffikon SZ,2025-02-01,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,IR,35,SOB-sob,Bern,2025-02-01,12:06:00,,,12:06:00,,,,,,,,,arrival,12:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,S,10,SZU,Uetliberg,2025-02-01,12:07:00,,,12:07:00,,,22,,,,,,arrival,12:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,IR,36,SBB,Zürich Oerlikon,2025-02-01,12:07:00,,,12:07:00,,,,,,,,,arrival,12:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,S,15,SBB,Niederweningen,2025-02-01,12:08:00,,,12:08:00,,,,,,,,,arrival,12:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,S,24,SBB,Zug,2025-02-01,12:09:00,,,12:09:00,,,,,,,,,arrival,12:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,S,14,SBB,Affoltern am Albis,2025-02-01,12:10:00,,,12:10:00,,,,,,,,,arrival,12:00,2025-02-01
2025-04-06,17:46:20,8503000,Zürich HB,S,7,SBB,Winterthur,2025-02-01,12:10:00,,,12:10:00,,,,,,,,,arrival,12:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,IC,3,SBB,Basel SBB,2025-02-01,13:00:00,,,13:00:00,,,12,,,,,,arrival,13:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,9,SBB,Uster,2025-02-01,13:02:00,,,13:02:00,,,,,,,,,arrival,13:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,8,SBB,Winterthur,2025-02-01,13:05:00,,,13:05:00,,,,,,,,,arrival,13:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,5,SBB,Pfäffikon SZ,2025-02-01,13:05:00,,,13:05:00,,,,,,,,,arrival,13:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,IR,35,SOB-sob,Bern,2025-02-01,13:06:00,,,13:06:00,,,,,,,,,arrival,13:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,10,SZU,Uetliberg,2025-02-01,13:07:00,,,13:07:00,,,22,,,,,,arrival,13:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,IR,36,SBB,Zürich Oerlikon,2025-02-01,13:07:00,,,13:07:00,,,,,,,,,arrival,13:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,15,SBB,Niederweningen,2025-02-01,13:08:00,,,13:08:00,,,,,,,,,arrival,13:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,24,SBB,Zug,2025-02-01,13:09:00,,,13:09:00,,,,,,,,,arrival,13:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,14,SBB,Affoltern am Albis,2025-02-01,13:10:00,,,13:10:00,,,,,,,,,arrival,13:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,7,SBB,Winterthur,2025-02-01,13:10:00,,,13:10:00,,,,,,,,,arrival,13:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,IC,3,SBB,Basel SBB,2025-02-01,14:00:00,,,14:00:00,,,,,,,,,arrival,14:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,9,SBB,Uster,2025-02-01,14:02:00,,,14:02:00,,,,,,,,,arrival,14:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,8,SBB,Winterthur,2025-02-01,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,5,SBB,Pfäffikon SZ,2025-02-01,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,IR,35,SBB,Bern,2025-02-01,14:06:00,,,14:06:00,,,,,,,,,arrival,14:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,10,SZU,Uetliberg,2025-02-01,14:07:00,,,14:07:00,,,22,,,,,,arrival,14:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,IR,36,SBB,Zürich Oerlikon,2025-02-01,14:07:00,,,14:07:00,,,,,,,,,arrival,14:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,15,SBB,Niederweningen,2025-02-01,14:08:00,,,14:08:00,,,,,,,,,arrival,14:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,24,SBB,Zug,2025-02-01,14:09:00,,,14:09:00,,,,,,,,,arrival,14:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,14,SBB,Affoltern am Albis,2025-02-01,14:10:00,,,14:10:00,,,,,,,,,arrival,14:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,7,SBB,Winterthur,2025-02-01,14:10:00,,,14:10:00,,,,,,,,,arrival,14:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,IC,3,SBB,Basel SBB,2025-02-01,15:00:00,,,15:00:00,,,5,,,,,,arrival,15:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,9,SBB,Uster,2025-02-01,15:02:00,,,15:02:00,,,,,,,,,arrival,15:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,8,SBB,Winterthur,2025-02-01,15:05:00,,,15:05:00,,,,,,,,,arrival,15:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,5,SBB,Pfäffikon SZ,2025-02-01,15:05:00,,,15:05:00,,,,,,,,,arrival,15:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,IR,35,SBB,Bern,2025-02-01,15:06:00,,,15:06:00,,,,,,,,,arrival,15:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,10,SZU,Uetliberg,2025-02-01,15:07:00,,,15:07:00,,,22,,,,,,arrival,15:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,IR,36,SBB,Zürich Oerlikon,2025-02-01,15:07:00,,,15:07:00,,,,,,,,,arrival,15:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,15,SBB,Niederweningen,2025-02-01,15:08:00,,,15:08:00,,,,,,,,,arrival,15:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,IC,031021,SBB,Brig,2025-02-01,15:09:00,,,15:09:00,,,12,,,,,,arrival,15:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,24,SBB,Zug,2025-02-01,15:09:00,,,15:09:00,,,,,,,,,arrival,15:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,11,SBB,Aarau,2025-02-01,16:00:00,,,16:00:00,,,43/44,,,,,,arrival,16:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,9,SBB,Uster,2025-02-01,16:02:00,,,16:02:00,,,,,,,,,arrival,16:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,8,SBB,Winterthur,2025-02-01,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,5,SBB,Pfäffikon SZ,2025-02-01,16:05:00,,,16:05:00,,,,,,,,,arrival,16:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,IR,35,SBB,Bern,2025-02-01,16:06:00,,,16:06:00,,,,,,,,,arrival,16:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,10,SZU,Uetliberg,2025-02-01,16:07:00,,,16:07:00,,,22,,,,,,arrival,16:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,IR,36,SBB,Zürich Oerlikon,2025-02-01,16:07:00,,,16:07:00,,,,,,,,,arrival,16:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,15,SBB,Niederweningen,2025-02-01,16:08:00,,,16:08:00,,,,,,,,,arrival,16:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,24,SBB,Zug,2025-02-01,16:09:00,,,16:09:00,,,,,,,,,arrival,16:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,14,SBB,Affoltern am Albis,2025-02-01,16:10:00,,,16:10:00,,,,,,,,,arrival,16:00,2025-02-01
2025-04-06,17:46:21,8503000,Zürich HB,S,7,SBB,Winterthur,2025-02-01,16:10:00,,,16:10:00,,,,,,,,,arrival,16:00,2025-02-01
2025-04-06,17:46:22,8503000,Zürich HB,S,11,SBB,Aarau,2025-02-01,17:00:00,,,17:00:00,,,43/44,,,,,,arrival,17:00,2025-02-01
2025-04-06,17:46:22,8503000,Zürich HB,S,9,SBB,Uster,2025-02-01,17:02:00,,,17:02:00,,,,,,,,,arrival,17:00,2025-02-01
2025-04-06,17:46:22,8503000,Zürich HB,S,8,SBB,Winterthur,2025-02-01,17:05:00,,,17:05:00,,,,,,,,,arrival,17:00,2025-02-01
2025-04-06,17:46:22,8503000,Zürich HB,S,5,SBB,Pfäffikon SZ,2025-02-01,17:05:00,,,17:05:00,,,,,,,,,arrival,17:00,2025-02-01
