collection_date,collection_time,station_id,station_name,train_category,train_number,train_operator,train_to,departure_date,departure_time,arrival_date,arrival_time,departure_timestamp,arrival_timestamp,delay,platform,prognosis_departure,prognosis_arrival,prognosis_platform,capacity1st,capacity2nd,board_type,request_time,request_date,train_id
2025-04-06,16:49:00,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-02,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-01-02,IC_21
2025-04-06,16:49:02,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-02,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-01-02,IC_21
2025-04-06,16:49:06,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-02,18:05:00,,,18:05:00,,,,,,,,,arrival,18:00,2025-01-02,IC_21
2025-04-06,16:49:08,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-02,20:05:00,,,20:05:00,,,,,,,,,arrival,20:00,2025-01-02,IC_21
2025-04-06,16:49:09,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-02,22:05:00,,,22:05:00,,,,,,,,,arrival,22:00,2025-01-02,IC_21
2025-04-06,16:49:12,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-03,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-01-03,IC_21
2025-04-06,16:49:15,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-03,08:05:00,,,08:05:00,,,,,,,,,arrival,08:00,2025-01-03,IC_21
2025-04-06,16:49:16,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-03,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-01-03,IC_21
2025-04-06,16:49:18,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-03,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-01-03,IC_21
2025-04-06,16:49:21,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-03,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-01-03,IC_21
2025-04-06,16:49:25,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-03,18:05:00,,,18:05:00,,,,,,,,,arrival,18:00,2025-01-03,IC_21
2025-04-06,16:49:27,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-03,20:05:00,,,20:05:00,,,,,,,,,arrival,20:00,2025-01-03,IC_21
2025-04-06,16:49:30,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-03,22:05:00,,,22:05:00,,,,,,,,,arrival,22:00,2025-01-03,IC_21
2025-04-06,16:49:34,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-04,06:05:00,,,06:05:00,,,,,,,,,arrival,05:00,2025-01-04,IC_21
2025-04-06,16:49:35,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-04,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-01-04,IC_21
2025-04-06,16:49:37,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-04,08:05:00,,,08:05:00,,,,,,,,,arrival,08:00,2025-01-04,IC_21
2025-04-06,16:49:39,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-04,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-01-04,IC_21
2025-04-06,16:49:41,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-04,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-01-04,IC_21
2025-04-06,16:49:43,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-04,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-01-04,IC_21
2025-04-06,16:49:47,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-04,18:05:00,,,18:05:00,,,,,,,,,arrival,18:00,2025-01-04,IC_21
2025-04-06,16:49:49,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-04,20:05:00,,,20:05:00,,,,,,,,,arrival,20:00,2025-01-04,IC_21
2025-04-06,16:49:51,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-04,22:05:00,,,22:05:00,,,,,,,,,arrival,22:00,2025-01-04,IC_21
2025-04-06,16:49:52,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-05,06:05:00,,,06:05:00,,,,,,,,,arrival,05:00,2025-01-05,IC_21
2025-04-06,16:49:53,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-05,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-01-05,IC_21
2025-04-06,16:49:55,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-05,08:05:00,,,08:05:00,,,,,,,,,arrival,08:00,2025-01-05,IC_21
2025-04-06,16:49:57,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-05,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-01-05,IC_21
2025-04-06,16:49:59,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-05,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-01-05,IC_21
2025-04-06,16:50:01,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-05,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-01-05,IC_21
2025-04-06,16:50:06,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-05,18:05:00,,,18:05:00,,,,,,,,,arrival,18:00,2025-01-05,IC_21
2025-04-06,16:50:08,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-05,20:05:00,,,20:05:00,,,,,,,,,arrival,20:00,2025-01-05,IC_21
2025-04-06,16:50:10,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-05,22:05:00,,,22:05:00,,,,,,,,,arrival,22:00,2025-01-05,IC_21
2025-04-06,16:50:13,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-06,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-01-06,IC_21
2025-04-06,16:50:15,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-06,08:05:00,,,08:05:00,,,,,,,,,arrival,08:00,2025-01-06,IC_21
2025-04-06,16:50:17,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-06,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-01-06,IC_21
2025-04-06,16:50:19,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-06,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-01-06,IC_21
2025-04-06,16:50:20,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-06,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-01-06,IC_21
2025-04-06,16:50:25,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-06,18:05:00,,,18:05:00,,,,,,,,,arrival,18:00,2025-01-06,IC_21
2025-04-06,16:50:26,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-06,20:05:00,,,20:05:00,,,,,,,,,arrival,20:00,2025-01-06,IC_21
2025-04-06,16:50:28,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-06,22:05:00,,,22:05:00,,,,,,,,,arrival,22:00,2025-01-06,IC_21
2025-04-06,16:50:31,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-07,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-01-07,IC_21
2025-04-06,16:50:33,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-07,08:05:00,,,08:05:00,,,,,,,,,arrival,08:00,2025-01-07,IC_21
2025-04-06,16:50:35,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-07,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-01-07,IC_21
2025-04-06,16:50:37,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-07,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-01-07,IC_21
2025-04-06,16:50:39,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-07,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-01-07,IC_21
2025-04-06,16:50:43,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-07,18:05:00,,,18:05:00,,,,,,,,,arrival,18:00,2025-01-07,IC_21
2025-04-06,16:50:45,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-07,20:05:00,,,20:05:00,,,,,,,,,arrival,20:00,2025-01-07,IC_21
2025-04-06,16:50:47,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-07,22:05:00,,,22:05:00,,,,,,,,,arrival,22:00,2025-01-07,IC_21
2025-04-06,16:50:51,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-08,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-01-08,IC_21
2025-04-06,16:50:53,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-08,08:05:00,,,08:05:00,,,,,,,,,arrival,08:00,2025-01-08,IC_21
2025-04-06,16:50:56,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-08,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-01-08,IC_21
2025-04-06,16:50:58,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-08,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-01-08,IC_21
2025-04-06,16:51:00,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-08,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-01-08,IC_21
2025-04-06,16:51:04,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-08,18:05:00,,,18:05:00,,,,,,,,,arrival,18:00,2025-01-08,IC_21
2025-04-06,16:51:07,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-08,20:05:00,,,20:05:00,,,,,,,,,arrival,20:00,2025-01-08,IC_21
2025-04-06,16:51:09,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-08,22:05:00,,,22:05:00,,,,,,,,,arrival,22:00,2025-01-08,IC_21
2025-04-06,16:51:12,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-09,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-01-09,IC_21
2025-04-06,16:51:14,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-09,08:05:00,,,08:05:00,,,,,,,,,arrival,08:00,2025-01-09,IC_21
2025-04-06,16:51:16,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-09,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-01-09,IC_21
2025-04-06,16:51:18,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-09,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-01-09,IC_21
2025-04-06,16:51:20,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-09,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-01-09,IC_21
2025-04-06,16:51:24,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-09,18:05:00,,,18:05:00,,,,,,,,,arrival,18:00,2025-01-09,IC_21
2025-04-06,16:51:25,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-09,20:05:00,,,20:05:00,,,,,,,,,arrival,20:00,2025-01-09,IC_21
2025-04-06,16:51:27,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-09,22:05:00,,,22:05:00,,,,,,,,,arrival,22:00,2025-01-09,IC_21
2025-04-06,16:51:30,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-10,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-01-10,IC_21
2025-04-06,16:51:32,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-10,08:05:00,,,08:05:00,,,,,,,,,arrival,08:00,2025-01-10,IC_21
2025-04-06,16:51:34,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-10,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-01-10,IC_21
2025-04-06,16:51:37,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-10,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-01-10,IC_21
2025-04-06,16:51:39,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-10,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-01-10,IC_21
2025-04-06,16:51:43,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-10,18:05:00,,,18:05:00,,,,,,,,,arrival,18:00,2025-01-10,IC_21
2025-04-06,16:51:44,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-10,20:05:00,,,20:05:00,,,,,,,,,arrival,20:00,2025-01-10,IC_21
2025-04-06,16:51:48,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-10,22:05:00,,,22:05:00,,,,,,,,,arrival,22:00,2025-01-10,IC_21
2025-04-06,16:51:49,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-11,06:05:00,,,06:05:00,,,,,,,,,arrival,05:00,2025-01-11,IC_21
2025-04-06,16:51:50,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-11,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-01-11,IC_21
2025-04-06,16:51:52,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-11,08:05:00,,,08:05:00,,,,,,,,,arrival,08:00,2025-01-11,IC_21
2025-04-06,16:51:54,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-11,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-01-11,IC_21
2025-04-06,16:51:57,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-11,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-01-11,IC_21
2025-04-06,16:51:59,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-11,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-01-11,IC_21
2025-04-06,16:52:03,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-11,18:05:00,,,18:05:00,,,,,,,,,arrival,18:00,2025-01-11,IC_21
2025-04-06,16:52:05,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-11,20:05:00,,,20:05:00,,,,,,,,,arrival,20:00,2025-01-11,IC_21
2025-04-06,16:52:06,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-11,22:05:00,,,22:05:00,,,,,,,,,arrival,22:00,2025-01-11,IC_21
2025-04-06,16:52:08,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-12,06:05:00,,,06:05:00,,,,,,,,,arrival,05:00,2025-01-12,IC_21
2025-04-06,16:52:09,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-12,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-01-12,IC_21
2025-04-06,16:52:11,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-12,08:05:00,,,08:05:00,,,,,,,,,arrival,08:00,2025-01-12,IC_21
2025-04-06,16:52:13,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-12,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-01-12,IC_21
2025-04-06,16:52:15,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-12,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-01-12,IC_21
2025-04-06,16:52:17,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-12,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-01-12,IC_21
2025-04-06,16:52:21,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-12,18:05:00,,,18:05:00,,,,,,,,,arrival,18:00,2025-01-12,IC_21
2025-04-06,16:52:23,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-12,20:05:00,,,20:05:00,,,,,,,,,arrival,20:00,2025-01-12,IC_21
2025-04-06,16:52:25,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-12,22:05:00,,,22:05:00,,,,,,,,,arrival,22:00,2025-01-12,IC_21
2025-04-06,16:52:28,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-13,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-01-13,IC_21
2025-04-06,16:52:30,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-13,08:05:00,,,08:05:00,,,,,,,,,arrival,08:00,2025-01-13,IC_21
2025-04-06,16:52:32,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-13,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-01-13,IC_21
2025-04-06,16:52:34,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-13,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-01-13,IC_21
2025-04-06,16:52:36,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-13,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-01-13,IC_21
2025-04-06,16:52:40,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-13,18:05:00,,,18:05:00,,,,,,,,,arrival,18:00,2025-01-13,IC_21
2025-04-06,16:52:42,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-13,20:05:00,,,20:05:00,,,,,,,,,arrival,20:00,2025-01-13,IC_21
2025-04-06,16:52:44,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-13,22:05:00,,,22:05:00,,,,,,,,,arrival,22:00,2025-01-13,IC_21
2025-04-06,16:52:47,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-14,06:05:00,,,06:05:00,,,,,,,,,arrival,06:00,2025-01-14,IC_21
2025-04-06,16:52:49,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-14,08:05:00,,,08:05:00,,,,,,,,,arrival,08:00,2025-01-14,IC_21
2025-04-06,16:52:51,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-14,10:05:00,,,10:05:00,,,,,,,,,arrival,10:00,2025-01-14,IC_21
2025-04-06,16:52:54,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-14,12:05:00,,,12:05:00,,,,,,,,,arrival,12:00,2025-01-14,IC_21
2025-04-06,16:52:56,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-14,14:05:00,,,14:05:00,,,,,,,,,arrival,14:00,2025-01-14,IC_21
2025-04-06,16:53:00,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-14,18:05:00,,,18:05:00,,,,,,,,,arrival,18:00,2025-01-14,IC_21
2025-04-06,16:53:02,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-14,20:05:00,,,20:05:00,,,,,,,,,arrival,20:00,2025-01-14,IC_21
2025-04-06,16:53:04,8505000,Luzern,IC,21,SBB,Basel SBB,2025-01-14,22:05:00,,,22:05:00,,,,,,,,,arrival,22:00,2025-01-14,IC_21
